question1,question2,label,m3e-small,s-bert(all-MiniLM-L6-v2),gte-small
How do I get from San Francisco to Union Station using metro?,How do I get from JFK Airport to Brooklyn using train?,1,0.90335625,0.5296575427055359,0.8409271836280823
How do I get from San Francisco to Downtown using train?,How do I get from Brooklyn to City Center using train?,1,0.9997187,0.6910987496376038,0.8914259076118469
How do I get from JFK Airport to City Center using metro?,How do I get from Central Park to Brooklyn using train?,1,0.90335625,0.5620127320289612,0.8740317225456238
How do I get from Union Station to San Francisco using train?,How do I get from Times Square to LA using train?,1,0.99770397,0.5759546756744385,0.8874276280403137
How do I get from San Diego to San Francisco using train?,Is the metro from Manhattan to Brooklyn running this weekend?,0,0.8241045,0.37720322608947754,0.8013880848884583
How do I get from San Diego to Downtown using metro?,How do I get from City Center to San Diego using metro?,1,0.99793303,0.9255572557449341,0.9670723676681519
How do I get from JFK Airport to Central Park using bus?,How do I get from San Diego to LA using train?,1,0.9403368,0.44865041971206665,0.797654390335083
How do I get from Manhattan to Times Square using bus?,Is the metro from JFK Airport to Union Station running this weekend?,0,0.8492023,0.4036633372306824,0.800280749797821
How do I get from San Diego to LA using train?,Is the metro from Brooklyn to Downtown running this weekend?,0,0.81934834,0.3708477020263672,0.7864652276039124
How do I get from City Center to Brooklyn using train?,Is the bus from Manhattan to Brooklyn running tomorrow?,0,0.8284643,0.6251668334007263,0.8772186636924744
How do I get from LA to Downtown using train?,How do I get from City Center to San Diego using metro?,1,0.8941851,0.5645760893821716,0.8684267997741699
How do I get from Union Station to Downtown using bus?,How do I get from JFK Airport to Central Park using bus?,1,0.99821293,0.6624719500541687,0.8746841549873352
How do I get from Central Park to Manhattan using metro?,How do I get from Downtown to Union Station using metro?,1,0.9997523,0.7009948492050171,0.9063830375671387
How do I get from Manhattan to Brooklyn using train?,What's the way from Manhattan to Brooklyn using train?,2,0.96309984,0.9368380308151245,0.981730580329895
How do I get from San Diego to Downtown using bus?,Is the bus from San Francisco to Central Park running next Monday?,0,0.9224529,0.6000829935073853,0.8569263815879822
How do I get from Brooklyn to Downtown using metro?,How do I get from JFK Airport to Times Square using train?,1,0.88951266,0.5136414766311646,0.8640282154083252
How do I get from Downtown to Brooklyn using metro?,What's the way from Downtown to Brooklyn using metro?,2,0.95935243,0.94547039270401,0.9859296679496765
How do I get from Times Square to Manhattan using train?,Is the bus from Brooklyn to Manhattan running today?,0,0.8205312,0.5891004800796509,0.8623565435409546
How do I get from City Center to Times Square using bus?,Is the metro from LA to Manhattan running today?,0,0.8287111,0.41190820932388306,0.820703387260437
How do I get from Union Station to City Center using bus?,How do I get from Central Park to San Diego using train?,1,0.94315606,0.5612314343452454,0.8602070212364197
How do I get from Central Park to LA using metro?,How do I get from Manhattan to LA using bus?,1,0.90337074,0.6655938625335693,0.8938984870910645
How do I get from Downtown to Brooklyn using train?,How do I get from Brooklyn to Union Station using metro?,1,0.8919098,0.8013964295387268,0.9218523502349854
How do I get from LA to Downtown using train?,Is the bus from Manhattan to City Center running this weekend?,0,0.83388406,0.468971312046051,0.8047910332679749
How do I get from San Diego to Downtown using bus?,Is the bus from San Francisco to Central Park running next Monday?,0,0.9224529,0.6000829935073853,0.8569263815879822
How do I get from Manhattan to JFK Airport using bus?,Is the train from San Diego to San Francisco running tomorrow?,0,0.84804076,0.25763025879859924,0.76335209608078
How do I get from Central Park to LA using bus?,What's the way from Central Park to LA using bus?,2,0.9633494,0.9337172508239746,0.9863325953483582
How do I get from JFK Airport to Downtown using bus?,Is the train from San Francisco to LA running this weekend?,0,0.8534175,0.31284716725349426,0.7741954922676086
How do I get from Downtown to Manhattan using bus?,How do I get from Central Park to Manhattan using metro?,1,0.90337074,0.7626972794532776,0.9158818125724792
How do I get from JFK Airport to LA using bus?,Is the bus from Union Station to City Center running next Monday?,0,0.9224529,0.4001779556274414,0.8090695738792419
How do I get from San Diego to Brooklyn using train?,Is the metro from City Center to JFK Airport running this weekend?,0,0.83250433,0.3908127248287201,0.8031721115112305
How do I get from Union Station to Times Square using metro?,How do I get from Brooklyn to San Francisco using train?,1,0.9033477,0.5307500958442688,0.872351884841919
How do I get from Times Square to San Diego using train?,Is the metro from Union Station to San Diego running this weekend?,0,0.83965,0.6198244094848633,0.8723611235618591
How do I get from Central Park to LA using bus?,Is the bus from Union Station to Downtown running next Monday?,0,0.92244744,0.5122097134590149,0.8419066071510315
How do I get from Brooklyn to San Francisco using train?,How do I get from LA to Downtown using train?,1,0.99696326,0.6994383335113525,0.8850420117378235
How do I get from Union Station to Central Park using metro?,How do I get from San Francisco to Brooklyn using train?,1,0.90335625,0.5735002160072327,0.8608922958374023
Is the train from Downtown to Times Square running next Monday?,Do trains from Downtown to Times Square running next Monday?,2,0.99336004,0.9428074359893799,0.9911112785339355
How do I get from LA to Brooklyn using train?,Is the train from Downtown to Times Square running tomorrow?,0,0.8735137,0.46413227915763855,0.8477718234062195
How do I get from San Francisco to JFK Airport using train?,How do I get from Central Park to LA using bus?,1,0.9375627,0.5561553239822388,0.8343325257301331
How do I get from LA to Brooklyn using train?,How do I get from Downtown to Union Station using metro?,1,0.8919098,0.5551300048828125,0.8556762337684631
How do I get from Brooklyn to Union Station using metro?,How do I get from City Center to Union Station using bus?,1,0.9145739,0.7401591539382935,0.9205583930015564
How do I get from Brooklyn to Central Park using bus?,Is the bus from Brooklyn to Central Park running this weekend?,0,0.89894485,0.7785491943359375,0.9283463954925537
How do I get from Downtown to Central Park using train?,Is the metro from City Center to LA running tomorrow?,0,0.8299523,0.4580717384815216,0.8410835862159729
How do I get from Central Park to Union Station using bus?,How do I get from Times Square to Central Park using train?,1,0.94315606,0.7713160514831543,0.9182766675949097
How do I get from JFK Airport to San Francisco using train?,How do I get from JFK Airport to City Center using metro?,1,0.90513605,0.7064114809036255,0.9004783630371094
How do I get from JFK Airport to Downtown using bus?,What's the way from JFK Airport to Downtown using bus?,2,0.9633494,0.9442153573036194,0.9880659580230713
How do I get from Downtown to San Francisco using metro?,Is the bus from Brooklyn to Downtown running next Monday?,0,0.8467669,0.43745657801628113,0.8378359079360962
How do I get from Central Park to San Diego using train?,Is the train from Manhattan to LA running next Monday?,0,0.9161843,0.4181821942329407,0.8248369693756104
How do I get from Downtown to LA using metro?,Is the bus from LA to Union Station running next Monday?,0,0.8415553,0.4571482837200165,0.8477468490600586
How do I get from Central Park to LA using bus?,How do I get from Downtown to City Center using train?,1,0.93663204,0.6356573104858398,0.8722550272941589
How do I get from JFK Airport to Downtown using train?,Is the train from Manhattan to Downtown running tomorrow?,0,0.8807493,0.5971947312355042,0.8728616237640381
How do I get from Manhattan to City Center using train?,Is the metro from Downtown to San Francisco running this weekend?,0,0.82398623,0.3937801420688629,0.8202863931655884
How do I get from Central Park to LA using metro?,What's the way from Central Park to LA using metro?,2,0.9651872,0.9291674494743347,0.9874533414840698
How do I get from City Center to Brooklyn using train?,How do I get from Times Square to Brooklyn using bus?,1,0.9367899,0.7684141397476196,0.911541759967804
How do I get from LA to Brooklyn using train?,How do I get from Times Square to San Diego using train?,1,0.992768,0.589987576007843,0.9045378565788269
How do I get from Union Station to San Diego using train?,How do I get from San Diego to San Francisco using metro?,1,0.90513605,0.731672465801239,0.9098474383354187
How do I get from Central Park to JFK Airport using train?,How do I get from LA to Manhattan using metro?,1,0.88951266,0.5214046835899353,0.8475438952445984
Is the train from San Francisco to LA running this weekend?,Do trains from San Francisco to LA running this weekend?,2,0.9945627,0.9444818496704102,0.9900258183479309
How do I get from Times Square to LA using train?,Is the metro from Brooklyn to City Center running tomorrow?,0,0.8261921,0.41943424940109253,0.8141429424285889
How do I get from San Francisco to JFK Airport using train?,Is the metro from JFK Airport to City Center running tomorrow?,0,0.8346805,0.6032730340957642,0.8653033375740051
How do I get from Times Square to San Diego using bus?,How do I get from Manhattan to San Francisco using metro?,1,0.9145739,0.5948212146759033,0.861954391002655
How do I get from Union Station to Brooklyn using metro?,How do I get from JFK Airport to Downtown using bus?,1,0.9119492,0.5422344207763672,0.8381213545799255
How do I get from LA to Manhattan using bus?,How do I get from Times Square to Union Station using bus?,1,0.9936571,0.5255739688873291,0.9034400582313538
How do I get from Brooklyn to Union Station using metro?,Is the metro from Times Square to Downtown running next Monday?,0,0.9086424,0.5135220885276794,0.8226688504219055
How do I get from Downtown to Brooklyn using train?,How do I get from LA to City Center using train?,1,0.99696326,0.7381147742271423,0.8984552025794983
How do I get from Union Station to JFK Airport using metro?,Is the train from Manhattan to Downtown running tomorrow?,0,0.82448477,0.419787734746933,0.813940703868866
How do I get from LA to Central Park using metro?,How do I get from LA to Brooklyn using train?,1,0.8919098,0.681915819644928,0.8894907236099243
How do I get from San Diego to Brooklyn using train?,Is the train from City Center to Times Square running next Monday?,0,0.9098345,0.4145057499408722,0.837737500667572
How do I get from Union Station to Downtown using bus?,How do I get from JFK Airport to Central Park using bus?,1,0.99821293,0.6624719500541687,0.8746841549873352
How do I get from Times Square to Union Station using bus?,How do I get from Manhattan to JFK Airport using bus?,1,0.99837583,0.5318682193756104,0.8808377981185913
How do I get from Central Park to San Francisco using train?,How do I get from Times Square to San Diego using train?,1,1.0000001,0.7247476577758789,0.8927038908004761
How do I get from Brooklyn to Central Park using bus?,Is the metro from City Center to LA running tomorrow?,0,0.8391912,0.43744957447052,0.8133447170257568
How do I get from Downtown to JFK Airport using train?,Is the bus from Brooklyn to San Diego running this weekend?,0,0.83995765,0.3384167551994324,0.7843860387802124
How do I get from Central Park to San Diego using bus?,Is the metro from Central Park to Union Station running tomorrow?,0,0.8453449,0.4376663565635681,0.8504881858825684
How do I get from JFK Airport to LA using train?,Is the metro from City Center to JFK Airport running this weekend?,0,0.83250433,0.5648475885391235,0.8561490774154663
How do I get from Central Park to Brooklyn using train?,What's the way from Central Park to Brooklyn using train?,2,0.96794504,0.9417808055877686,0.9866679310798645
How do I get from Downtown to Manhattan using metro?,How do I get from Brooklyn to San Francisco using train?,1,0.8918203,0.6742663979530334,0.8826568126678467
How do I get from LA to Brooklyn using train?,How do I get from Union Station to San Diego using train?,1,0.992768,0.5756192803382874,0.8832910060882568
Is the train from San Diego to Union Station running today?,Do trains from San Diego to Union Station running today?,2,0.9942055,0.9413681626319885,0.9900216460227966
How do I get from Brooklyn to JFK Airport using bus?,How do I get from Manhattan to JFK Airport using bus?,1,0.9999996,0.9511441588401794,0.9654526710510254
How do I get from JFK Airport to Downtown using train?,Is the train from San Francisco to San Diego running tomorrow?,0,0.88801724,0.36221936345100403,0.8024035692214966
How do I get from Central Park to Manhattan using metro?,How do I get from Central Park to LA using train?,1,0.89891076,0.7296953201293945,0.9149311780929565
How do I get from City Center to San Diego using metro?,How do I get from Manhattan to Times Square using bus?,1,0.91687703,0.4621623754501343,0.8413844704627991
How do I get from LA to City Center using train?,Is the train from San Diego to Times Square running today?,0,0.8788477,0.4356576204299927,0.8365309238433838
How do I get from LA to Central Park using metro?,How do I get from Brooklyn to San Diego using metro?,1,1.0000004,0.7202416658401489,0.8893733024597168
How do I get from LA to Manhattan using bus?,Is the metro from City Center to JFK Airport running this weekend?,0,0.83718616,0.4010404348373413,0.8033446669578552
